time;Intake temp.;Throttle pos.;Electric fan speed;Injection time;Speed;Radiator coolant outlet temp.;Knock sensor #1;Knock sensor #2;Lambda #1 integrator ;Lambda #2 integrator;Engine load;Idle speed controller;Idle speed duty cycle;Air mass;Lambda #2 post-cat heating;Lambda #1 post-cat heating;Lambda #1 pre-cat heating;Lambda #2 pre-cat heating;Motor RPM;Motor temp.;Oil temp.;Lambda #1 integrator;Lambda #2 integrator;Battery voltage;Ignition angle
95;53.25;0;0;2.092;0;88.5;0.12;0.1;1.02506;1.00974;92.3672;4.33384;37.4099;16;0;0;99.2124;99.2124;962;99.75;100.871;2.50622;0.974215;13.8666;4.5
269;53.25;0;0;2.092;0;88.5;0.12;0.1;1.02506;1.00828;92.0917;4.33079;37.3885;16;0;0;99.2124;99.2124;965;99.75;100.871;2.50622;0.827729;13.8666;4.125
427;53.25;0;0;2.088;0;88.5;0.12;0.1;1.02506;1.00681;92.3672;4.32468;37.4221;16;0;0;99.2124;99.2124;962;99.75;100.871;2.50622;0.681243;13.9685;4.5
586;53.25;0;0;2.06;0;87.75;0.12;0.1;1.01;1.02004;92.2824;4.31858;37.4068;16;0;0;99.2124;99.2124;963;99.75;100.871;1.00016;2.0042;13.8666;4.5
744;53.25;0;0;2.056;0;87.75;0.12;0.1;1.00854;1.02151;92.3672;4.31248;37.4404;16;0;0;99.2124;99.2124;962;99.75;100.871;0.853669;2.15068;13.8666;4.5
903;53.25;0;0;2.048;0;87.75;0.12;0.1;1.00707;1.02297;92.8546;4.31858;37.3565;16;0;0;99.2124;99.2124;957;99.75;100.871;0.707183;2.29717;13.9685;5.625
1060;53.25;0;0;2.056;0;87.75;0.12;0.1;1.00561;1.02444;92.8546;4.32468;37.4404;16;0;0;99.2124;99.2124;957;99.75;100.871;0.560696;2.44366;13.8666;5.25
1219;53.25;0;0;2.06;0;87.75;0.14;0.1;1.00414;1.0259;92.5791;4.33079;37.3733;16;0;0;99.2124;99.2124;960;99.75;100.871;0.41421;2.59014;13.8666;4.875
1377;53.25;0;0;2.076;0;87.75;0.14;0.1;1.01829;1.02737;92.6639;4.33384;37.4099;16;0;0;99.2124;99.2124;959;99.75;100.871;1.82872;2.73663;13.9685;4.875
1535;53.25;0;0;2.088;0;87.75;0.14;0.1;1.01975;1.02883;92.0917;4.33079;37.4358;16;0;0;99.2124;99.2124;965;99.75;100.871;1.97521;2.88312;13.8666;4.125
1694;53.25;0;0;2.088;0;87.75;0.16;0.1;1.02122;1.02975;91.901;4.32163;37.4358;16;0;0;99.2124;99.2124;967;99.75;100.871;2.12169;2.97467;13.8666;4.125
1853;53.25;0;0;2.084;0;87.75;0.16;0.1;1.02268;1.02975;91.6256;4.30942;37.3885;16;0;0;99.2124;99.2124;970;99.75;100.871;2.26818;2.97467;13.8666;4.125
2026;53.25;0;0;2.08;0;87;0.14;0.1;1.02415;1.02975;91.6256;4.29416;37.3839;16;0;0;99.2124;99.2124;970;99.75;100.871;2.41466;2.97467;13.9685;3.75
2184;53.25;0;0;2.084;0;87;0.14;0.1;1.02515;1.02975;91.6256;4.2789;37.3687;16;0;0;99.2124;99.2124;970;99.75;100.871;2.51537;2.97467;13.9685;4.125
2344;53.25;0;0;2.08;0;87;0.14;0.1;1.02515;1.01551;91.1382;4.26364;37.3519;16;0;0;99.2124;99.2124;975;99.75;100.871;2.51537;1.55101;13.8666;3.75
2503;53.25;0;0;2.08;0;86.25;0.14;0.1;1.02515;1.01405;91.5196;4.25144;37.2756;16;0;0;99.2124;99.2124;971;99;100.871;2.51537;1.40452;13.8666;4.125
2661;53.25;0;0;2.08;0;86.25;0.12;0.1;1.02515;1.01258;91.7951;4.24533;37.3229;16;0;0;99.2124;99.2124;968;99;100.871;2.51537;1.25803;13.9685;4.125
2820;53.25;0;0;2.052;0;86.25;0.12;0.1;1.01101;1.01111;91.7103;4.23618;37.3061;16;0;0;99.2124;99.2124;969;99;100.871;1.10087;1.11155;13.9685;4.125
2978;53.25;0;0;2.052;0;86.25;0.12;0.1;1.00954;1.00965;91.9858;4.22702;37.2603;16;0;0;99.2124;99.2124;966;99;100.871;0.954379;0.96506;13.8666;4.5
3136;53.25;0;0;2.048;0;86.25;0.12;0.1;1.00808;1.00819;92.0917;4.22397;37.2893;16;0;0;99.2124;99.2124;965;99;100.871;0.807892;0.818574;13.8666;4.5
3295;53.25;0;0;2.044;0;86.25;0.12;0.1;1.00661;1.00672;92.2824;4.21786;37.2252;16;0;0;99.2124;99.2124;963;99;100.871;0.661406;0.672087;13.9685;4.5
3454;53.25;0;0;2.04;0;86.25;0.14;0.1;1.00515;1.00526;92.0917;4.21481;37.242;16;0;0;99.2124;99.2124;965;99;100.871;0.51492;0.525601;13.9685;4.125
3614;53.25;0;0;2.028;0;86.25;0.14;0.1;1.00368;1.0183;92.7698;4.21176;37.2771;16;0;0;99.2124;99.2124;958;99;100.871;0.368433;1.83025;13.8666;5.25
3772;53.25;0;0;2.04;0;86.25;0.14;0.1;1.00222;1.01977;94.2107;4.21176;37.2771;16.25;0;0;99.2124;99.2124;958;99;100.871;0.221947;1.97673;13.9685;5.25
3929;53.25;0;0;2.052;0;86.25;0.14;0.1;1.01453;1.02123;92.4732;4.21176;37.2771;16;0;0;99.2124;99.2124;961;99;100.871;1.45335;2.12322;13.9685;4.875
4104;53.25;0;0;2.08;0;85.5;0.14;0.1;1.016;1.0227;92.2824;4.21481;37.21;16;0;0;99.2124;99.2124;963;99;100.871;1.59983;2.2697;13.8666;4.5
4263;53.25;0;0;2.08;0;85.5;0.14;0.1;1.01746;1.02416;91.9858;4.20871;37.2603;16;0;0;99.2124;99.2124;966;99;100.871;1.74632;2.41619;13.9685;4.125
4421;53.25;0;0;2.076;0;85.5;0.14;0.1;1.01893;1.02535;91.6256;4.19955;37.2298;16;0;0;99.2124;99.2124;970;99;100.871;1.89281;2.53521;13.9685;4.125
4579;53.25;0;0;2.076;0;84.75;0.14;0.1;1.02039;1.02535;91.6256;4.19345;37.2466;16;0;0;99.2124;99.2124;970;99;100.871;2.03929;2.53521;13.9685;4.125
4743;53.25;0;0;2.076;0;84.75;0.14;0.1;1.02186;1.02535;91.9858;4.17819;37.2802;16;0;0;99.2124;99.2124;966;99;100.871;2.18578;2.53521;13.9685;4.5
4900;53.25;0;0;2.08;0;84.75;0.14;0.1;1.02186;1.02535;92.1765;4.17208;37.2466;16;0;0;99.2124;99.2124;964;99;100.871;2.18578;2.53521;13.9685;4.5
5059;53.25;0;0;2.08;0;84.75;0.12;0.1;1.02186;1.01139;91.5196;4.15988;37.1963;16;0;0;99.2124;99.2124;971;99;100.871;2.18578;1.13901;13.9685;4.125
5217;53.25;0;0;2.072;0;84.75;0.12;0.1;1.02186;1.00993;91.5196;4.14767;37.181;16;0;0;99.2124;99.2124;971;99;100.871;2.18578;0.992526;13.9685;4.125
5375;53.25;0;0;2.072;0;84.75;0.12;0.1;1.00817;1.00846;91.5196;4.13851;37.1978;16;0;0;99.2124;99.2124;971;99;100.871;0.817048;0.84604;13.8666;4.125
